kode,keterangan_bersih
1111,tani jagung kelompok cakup giat tani jagung dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam jagung hasil benih biji kelompok cakup tani jagung manis
1112,tani serealia padi jagung kelompok cakup giat tani serealia padi jagung gandum wheat oats sorgum cantel barli barley gandum hitam rye jawawut tani serealia padi jagung cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup giat tanam tanam serealia padi jagung hasil benih biji
1113,tani kedelai kelompok cakup giat tani kedelai dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat kelompok cakup tani kedelai sayur edamame
1114,tani kacang tanah kelompok cakup giat tani kacang tanah dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1115,tani kacang hijau kelompok cakup giat tani kacang hijau dalam giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1116,tani aneka kacang kedelai kacang tanah kacang hijau kelompok cakup giat tani aneka kacang buncis buncis kacang kapri kecipir mijumiju lupin kacang polong kacang merah koro gude kacang tunggak tani aneka kacang cakup giat olah lahan semai tanam pelihara panen giat pascapanen rangkai giat
1117,tani biji biji hasil minyak makan kelompok cakup giat tani biji biji hasil minyak makan biji wijen biji kanola biji safflower biji bunga matahari tani biji biji hasil minyak makan cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1118,tani biji biji hasil minyak minyak makan kelompok cakup giat tani biji biji hasil minyak minyak makan biji kapas biji rami biji moster niger seed biji jarak pohon tani biji biji hasil minyak minyak makan cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1121,tani padi hibrida kelompok cakup giat tani padi hibrida dalam giat olah lahan semai tanam pelihara panen giat pascapanen rangkai giat hasil gabah kelompok cakup giat tanam padi hibrida hasil benih biji padi hibrida turun hasil silang galur tetua bentuk galur inbrida homozigot contoh bernas super bernas prima sembada sembada sembada sl shs bridantara pp turun padi hibrida padi hibrida
1122,tani padi inbrida kelompok cakup giat tani padi inbrida padi hibrida dalam giat olah lahan semai tanam pelihara panen giat pascapanen satu giat hasil gabah kelompok cakup giat tanam padi inbrida hasil benih biji padi inbrida varietas kembang tanam serbu milik tingkat murni homozigositas tinggi contoh memberamo mekongga ciherang ir inpari inpara inpago tiwi ipb padi varietas lokal dibudidayakan turun turun tani rojo lele pandan wangi pusaka bhagasasi
1131,tani sayur daun kelompok cakup giat tani sayur daun bunga batang makan sayur articok petsai sawi asparagus kubis kol kembang kol brokoli selada seledri daun bawang bayam kangkung tani sayur daun cakup giat olah lahan semai tanam pelihara panen giat pascapanen rangkai giat bayam kangkung panen akar masuk kelompok kelompok cakup giat tanam tanam sayur daun hasil benih biji
