kode,keterangan_bersih
1111,tani jagung kelompok cakup giat tani jagung masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam jagung hasil benih upa biji kelompok tidak cakup tani jagung manis
1112,tani serealia padi jagung kelompok cakup giat tani serealia padi jagung gandum wheat oats sorgum cantel barli barley gandum hitam rye jawawut tani serealia padi jagung maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam serealia padi jagung hasil benih upa biji
1113,tani kedelai kelompok cakup giat tani kedelai masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok tidak cakup tani kedelai sayur edamame
1114,tani kacang tanah kelompok cakup giat tani kacang tanah masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1115,tani kacang hijau kelompok cakup giat tani kacang hijau masuk dalam giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1116,tani aneka kacang kedelai kacang tanah kacang hijau kelompok cakup giat tani aneka kacang lain buncis buncis besar kacang panjang kapri kecipir mijumiju lupin kacang polong kacang merah koro gude kacang tunggak tani aneka kacang maksud cakup giat olah lahan semai tanam pelihara panen giat pascapanen laku satu rangkai giat
1117,tani biji biji hasil minyak makan kelompok cakup giat tani biji biji hasil minyak makan biji wijen biji kanola biji safflower biji bunga matahari tani biji biji hasil minyak makan maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1118,tani biji biji hasil minyak minyak makan kelompok cakup giat tani biji biji hasil minyak minyak makan biji kapas biji rami biji moster niger seed biji jarak pohon tani biji biji hasil minyak minyak makan maksud cakup giat olah lahan tanam pelihara panen giat pascapanen laku satu rangkai giat
1121,tani padi hibrida kelompok cakup giat tani padi hibrida masuk dalam giat olah lahan semai tanam pelihara panen giat pascapanen laku satu rangkai giat dengan hasil gabah kelompok juga cakup giat tanam padi hibrida hasil benih upa biji padi hibrida turun pertama f hasil silang dua galur lebih tetua bentuk atau galur inbrida homozigot contoh bernas super bernas prima sembada b sembada sembada sl shs bridantara pp turun padi hibrida masuk padi hibrida
1122,tani padi inbrida kelompok cakup giat tani padi inbrida padi hibrida masuk dalam giat olah lahan semai tanam pelihara panen giat pascapanen laku satu satu giat dengan hasil gabah kelompok juga cakup giat tanam padi inbrida hasil benih upa biji padi inbrida varietas kembang satu tanam lalu serbu sendiri milik tingkat murni homozigositas tinggi contoh memberamo mekongga ciherang ir inpari inpara inpago pak tiwi ipb s padi varietas lokal telah dibudidayakan turun turun tani rojo lele pandan wangi dan pusaka bhagasasi
1131,tani sayur daun kelompok cakup giat tani sayur daun bunga batang makan sayur articok petsai sawi asparagus kubis kol kembang kol brokoli selada seledri daun bawang bayam kangkung tani sayur daun maksud cakup giat olah lahan semai tanam pelihara panen giat pascapanen laku satu rangkai giat bayam kangkung panen akar masuk kelompok kelompok juga cakup giat tanam tanam sayur daun hasil benih upa biji
1132,tani buah musim kelompok cakup giat tani buah musim semangka blewah melon timun suri tani buah musim maksud cakup giat olah lahan semai tanam pelihara panen giat pascapanen laku satu rangkai giat kelompok juga cakup giat tanam tanam buah musim hasil benih upa biji
1133,tani sayur buah kelompok cakup giat tani hortikultura sayur buah mentimun terong tomat belimbing sayur labu sayur siam waluh labu kuning gambas oyong tani sayur buah maksud cakup giat olah lahan semai tanam pelihara panen giat pascapanen laku satu satu giat kelompok juga cakup giat tanam tanam sayur buah hasil benih upa biji kelompok tidak cakup tani cabai paprika
